Nederlands;Tilburgs
 eruit ; deröt
 eruit gooien ; erööt kèèle
 erven ; èèreve, (ierf, geòrreve)
 erwt ; èrt
 erwtensoep ; snert / snert
 erwtensoep, snert ; èrtsoep
 etalage ; èùtstalraom
 etalage ; toograom
 eten ; nassen
 eten ; eete, (tt it, vt aat)
 eten ; schaften
 eten ; bööze
 etensrestjes uit de pan, uitschraapsel ; panschròpsel
 etenswaar ; bikkesemènt
 etter, kreng, vervelend iemand ; ètterbööl
 euro ; uuro
 Europese kanarie (Serinus canarius) ; gielsèèsje
 euzie, overstekend deel van een dak ; euzel
 even ; èfkes
 even geleden, daarstraks ; toen strak
 even, hetzelfde ; èève
 exploitant (v.e. kroeg of zaak) ; uitbaoter
 expres, opzettelijk ; sprès, èsprès
 expres, opzettelijk ; omsprès
 extraatje, meevaller ; toemaot, toemèt
 ezel ; eezel
 fabriek ; febriek
 fabrikant ; fabriekaant, faberiekaant
 failliet, bankroet ; fejiet
 familie ; femilie
 familie ; femielie
 familieleden ; èège vòlk
 familierelatie (Fr: parentage), kring, gelederen ; pèrmetaosie
 fantasievogel als boeman voor de kinderen ; hulleketeut
 fantasievogel of fantasiebeest ; môolek
 fatsoen ; fesoen
 fatsoenlijk ; fesoen (de) lek
 fazant ; fezaant
 februari ; feeberewaarie
 feest ; fist
 feest ; fist, (vkw fisje)
 feest ; fist
 feestavond in de kroeg, het potverteren ; tèèraovend
 feestdag ; fisttag
 feestelijkheid ; fistelekhèt / hèj, (mv fistelekheeje)
 feesten ; fisthaawe, fiste
 feesten, de fijne meneer uithangen ; limmenêere
 feestje ; fistje
 feestmars ; fistmars
 feestversieringen, slingers (Fr: guirlande) ; gelanders
 feit ; fèèt
 feitelijk, eigenlijk ; fèètelek
 felicitatiekaartje ; fielesetaosiekòrtje
 feliciteren ; fielesetêere, fiesietêere
 feynoord ; fack them
 fideel, getrouw ; fiedêel
 fiedelen, spelen, zingen ; fietele
 fiets zonder vrijloop ; deurtrapper
 fietsband (Fr: tube) ; tuup, tuut
 fietsframe ; fraom
 figuurtjes ; feguurkes
 fijn ; fen
 fijn ; fèèn
 fijn werk doen ; pielieje
 fijn werk doen ; priegele
 fijne ; fèène
 fijner ; fènder
 fijngevoelig ; fèèngevuuleg
 fijnproever ; fèènpruuver
 fijnst ; fènst
 fijt ; fèèt
 filosofie ; fielesefie
 filosofie ; fieselefie
 flambard, slappe deukhoed ; flambèèr
 flater ; flaoter
 flauw ; flaaw
 flauw ; kwèps
 flauw van smaak ; flèps, flèts
 flauw, flets ; vaajeg
 flauwe vent, zeikerd, spelbreker ; zèèkerd
 flauwerd ; truttenbòl
 flauwerik ; zèèkerd
 flesje met dropwater ; rutselflèske
 flink, fors, ferm ; fèrrem, fèèrem
 flinke knaap, gezonde knaap ; gòfferd
 flinke knul ; kadeej
 flinke neus ; fruut, vruut
 flinke neus ; vruut, fruut
 flitsend beeld, trillend aanzien ; geschiemer
 flop ; fiepoow
 fluit ; flööt, (vkw flötje)
 fluit ; flèùt
 fluiten ; flööte, (tt flöt, vt flôot)
 fluiten ; flèùte
 fluitketel ; môor
 fluweel ; flewêel
 fornuis ; kwiezjèèr
 fors iemand, manwijf ; kadeej
 fors, stevig, eigengereid ; stuup
 fotolijst ; fotokader
 fouilleren ; foelêere
 foute platte knoop ; aawwèèveknêûp
 fragiel, teer, secuur ; krikkel
 franje ; frannie
 frank (munt) ; frang
 Frans ; Fraans
 frater ; fraater
 fraters ; fraaters
 Fraterstraat ; Fraatersgat
 friemelen ; frutte
 friemelen, onhandig bezig zijn, aanrommelen ; möökele, mèùkele
 friteuse ; frietpan
 frommelen ; fròtte
 fruit op een warme plaats laten rijpen ; muuke
 frunniken ; frutte
 frutselen ; frunneke
 frutten, met de vingers aan plukken ; friemele
 fuchsia ; belleplaant
 Ga eens afwassen ; Waast es aaf
 ga weg! ; naait um!
 ga, gaat ; gao
 gaaf ; kèùs
 gaaf, redelijk, net, apart ; gêef
 gaaf, heel ; gaof
 gaai (Garrulus glandarius) ; broekèkster
 gaai (Garrulus glandarius) ; hannebroek
 gaan ; gaon, gòn, (vt gong)
 gaan plassen, pissen, zeiken ; dèèrepel afgiete
 gaan wandelen zonder een café te bezoeken ; waandelbier drinke
 gaande ; gònde
 gaar ; gaor
 gaas ; gaos
 gaat het ;gao-g-ut
 gaat het ; goaget
 gaatje ; gòtje
 gaatje ; götje
 gadeslaan ; gaojslaon
 gaffel (vormige tak of stam) ; mik
 gammel ; keduukelek
 gammel ; keduuk
 gangetje ; gangeske
 gangetje ; gèngske, gèngeske
 gans ; gaans
 gapen ; louwe
 gapen, kijken ; gòllieje
 gapen, kijken ; louwe
 gaper, toekijker ; gaoper
 gaperd, sufferd ; gòlliepaop
 garage ; grozie
 garage ; gerazzie
 garen ; gaore
 garf, deel v, e, korenschoof ; gèèref
 gaskomfoor ; gasstèl
 gast, man, kerel ; gaast (vkw gasje)
 gasthuis, ziekenhuis ; gaasthèùs, gaasthöös
 gat in de muur voor waterafvoer vanuit de môos ; môosgat, mòzzegat
 gaten ; gaoter
 gaten en bobbels (in wegen) ; hulte èn bulte
 gauw, vlug ; gaa
 gauw, vlug ; gaaw, gaa
 gave, nette, mooie ; gêeve
 gazon ; gezon
 gazonnetje ; gezonneke
 geacht ; getèld
 gebed ; gebèt
 gebeden ; gebeeje
 gebedje ; gebeejke
 gebeente, geraamte ; gebinte
 Gebit ; Versnellingsbak
 gebleekt ; geblikt
 gebod ; gebot (mv gebôoje)
 geboden (vt van bieden) ; geboje, gebôoje
 gebraad ; gebraoj
 gebraden haan ; gebraoje haon
 gebreid ; gebraajd
 gebreid hemd ; borstrok
 gebrekkig, ellendig ; èrbèèrmelek
 gebroeders ; gebrûurs
 gebruik ; gebrèùk, gebröök
 gebruiken ; gebrèùke, gebrööke
 gebukt gaan, zorgen hebben ; kromstaon
 gecastreerde haan ; gesneejen haon
 gecastreerde ram ; hamel
 gedeelte ; gedilte
 gedenknaald ; gedènknòld
 gedenksteen (tje) ; stölperstintje
 gedoe ; slameur
 gedoe ; geklôot
 gedoe, drukte, ophef ; kedaaj
 gedoetje ; gedoejke
 gedonder ; gesoodemieter
 gedronken ; gezope
 gedupeerd, benadeeld ; genaajd
 geef maar ; gimmar
 geel ; gèèl
 geelachtig ; gèèleg
 geelst; gèlst
 geen ; ginne, gin
 geen ; gin, ginne
 geen barst uitvoeren ; gin flèùt doen
 geen hekel aan ; nie nôoj
 geen vermoeden van hebben ; gin èèrg in hèbbe
 geërfd ; geòrreve
 geest ; gist
 geestelijkheid ; gisselek
 gefopt, beetgenomen, gedupeerd ; gekuld
 gegiechel, ingehouden lach ; gegieber
 gegroet ; ajuu
 gegroet ; saluu (t)
 gegrom, gemopper ; grommes
 gehaaid persoon, grote deugniet ; onte kapoen
 gehaakte sprei ; gehòkte spraaj
 geheim ; gehèèm
 geheimzinnig doen ; behèèmeld doen
 gehele dag ; hil den dag
 gehucht ; hèrdgang
 geit ; gèèt, (vkw gètje)
 geit ; gèèt
 geit die niet heeft gejongd, dus ook geen melk geeft ; ooverlôoper
 geitje ; gètje
 gek ; appetjoek
 gek ; koekwaus
 gek ; belaojtòffeld
 gek, dwaas (Hebr. meshugo) ; besjòkke
 gekerm ; gekèèrem
 gekke bekke trekken ; oe, wen tokus hee tie.....!
 gekke situatie, sterk verhaal ; stèùp
 geklets ; gezêever
 geklets, gepraat ; gepraot
 geklungel, gekloot, gedonder ; geklôot
 geknipt wittebrood ; knipmik
 gekonfijte dadel ; smèrlap
 gekookt veevoer ; sòp
 gelag ; schaoj
 geler; gèèler
 geld ; knaoke
 geld ; sènte
 geld ; schrabbers
 geld ; van den dieje
 geld, klinkende munt ; schèève
 geld, poen, muntgeld ; knaake
 geldbewaarplek in bed ; poetzak
 geldkistje ; gèldkiesje
 geldverkwister, iemand die overspannen raakt ; durdraaier
 geldzorgen, armoede ; èèremoej
 gele narcissen ; paosblòmme
 geleden ; geleeje
 geleerdheid ; gelirdeghèd, gelirdeghèt, gelirdeghèj (mv gelirdegheeje)
 gelegenheid ; geleegeneghèd, geleegeneghèt, geleegeneghèj
 gelegenheid ; geleegendeghèd, geleegendeghèt, geleegendeghèj
 gelegenheid (Fr: occasion) ; òkkaasie
 gelijk ; iedem
 gelijk, overeenkomend met ; gelèèk
 gelijk, zoals ; lèk
 gelijken op ; gelèèkene
 gelijken, lijken ; lèèkene
 gelijktijdig met de schep, ook met de mouw, een extra molenaarsdeel scheppen uit de zak gemalen graan; maawe
 geloof ; glêûf
 geloof ; gelêûf, glêûf
 geloven ; glêûve
 geloven ; gelêûve, glêûve
 geloven ; gelêûve
 geluid ; gelööt
 geluk ; rèùteketèùt
 geluk hebben ; zwèène
 geluk, bof, meevaller ; meeval
 geluk, meevaller ; meejval
 gelukkig ; gelukkeg
 gelukskans, mogelijkheid ; òkkaasie
 gemaakt ; gemòkt
 gemakkelijk te bereiden pap ; luiwèèvepap
 gemakkelijke stoel ; den zörg
 gemeen achterbaks persoon ; plòd
 gemeen iemand ; unne völlek
 gemeen persoon ; loeter
 gemeente ; geminte
 gemeenteraad ; geminteraot
 genadig ; genaoj
 geneesmiddel ; middelsèèn
 genever ; sneevel
 geniepig ventje, achterbaks persoon ; plöddeke
 genoeg ; zat
 genoeg, best ; genog, genogt
 gepast ; paas
 geplaveid erf ; plòts
 geraamte ; geròmte
 geraamte ; gerèmt
 geraas ; geraos
 geradbraakt, doodmoe ; geraojbròkt
 geraden ; geraoje
 gereedschap ; getöög, getèùg
 gereedschap ; geritschap
 gereedschap, gerei, spullen ; geraaj
 geregeld ; den halven tèèd
 geregeld ; dikkels
 gereken, rekenwerk ; reekenderèèj
 gerst ; gaarst, garst
 gerst ; garst, gaarst
 gerucht, praatje ; pròtje
 geruild ; geroole
 geruststelling ; gerusteghèd, gerusteghèt, gerusteghèj, (mv gerustegheeje)
 geselen, mishandelen ; gissele
 geslachtsdelen ; gemaacht
 geslachtsgemeenschap hebben ; naaje
 geslagen ; geslaon
 gesp ; gèps
 gespan ; gespènneke
 gespeeld ; gespult
 gespuis, geboefte ; gespöös
 gestadig, flink ; gestaog
 gestadig, op je gemak ; op staoj aon
 gesticuleren, tekens geven, seinen (bv bij het kaartspel) ; pèrgestiekes
 gestoord ; wous
 gestoord (van een nest) ; verlut
 gestorven ; gestörreve
 getikt, hoteldebotel, gek, maf, onwijs ; kierewiet
 getouw ; ketaaw
 getuid, met een touw vastgezet ; getöörd, getèùrd
 getwijfeld ; getwèffeld
 geultje ; gultje
 geurtje ; ruuk
 gevaar ; gevaor
 gevaarlijk ; gevaorlek
 gevaarte ; bezwaaj
 gevaarte, onhandig iets ; bezwaaj
 gevallen ; geklottert
 gevangen nemen, aanhouden ; klisse
 gevangenis, cel, kot ; kòt spinnekot
 gevarengeld, toeslag op het loon voor gevaarlijk werk ; bibbergèld
 geven ; geeve (tt gift, vt gaaf)
 gevoeglijk ; gevuug (e) lek
 gevoel ; gevuul
 gevoelloos iemand ; hartzak
 gevolgen, uitvloeisel ; naokwallem
 gevraagd ; gevraoge
 gewaad ; gewaod
 gewas ; gewaas
 geweer ; gewèèr
 geweest ; gewist, gewiest
 geweldig ; ontiegelijk
 geweldige ; van jewèlste
 gewoon sleutelbloempje (Primula officinalis) ; mèrtuntje
 gewoon, normaal ; foetseler
 gewoonlijk ; gemènlek, gemèllek
 gewoonte ; gewònte
 geworden ; gewòrre
 gewrichtskom ; koot (vkw kotje)
 gewrik, gewring ; gevrêûk
 gezag ; regeur
 gezegd ; gezeej gehad
 gezellig ; gezèlleg
 gezellig bij elkaar klitten (zitten) ; kloeke
 gezellig café (waar men blijft plakken) ; plèkkroeg, plèktent
 gezellig kletsen ; buurte
 gezeur ; slameur
 gezever ; pestoorspraot
 gezicht ; smoel
 gezicht ; bakkes
 gezicht ; toet
 gezicht ; Vruut
 gezicht, smoel, snuit ; smoelwèèrk
 gezicht, gelaat (Fr: face) ; faasie
 gezicht, mond, bek ; bakkes
 gezicht, snuit ; snèùt
 gezicht, uiterlijk ; fiezelemie
 gezichtje ; snötje
 gezin ; höshaawe
 giechelen, ingehouden lachen ; giebere
 gierig ; pinneg
 gierig iemand ; knaakebèèter
 gierigaard ; peejesteeker
 gierigaard ; gierigge pin
 gierigaard ; prèngel
 gierigaard ; kaajeschèèter
 gierigaard ; hèbberd
 gierigaard, overdreven zuinig iemand ; pin
 gierigaard, vrek ; peejsteeker, peejesteeker
 gieriggaard ; knakenbeter
 gierzwaluw ; gierzwòllem
 gilde (het gilde) ; guld (de guld)
 Gilze (gem. Gilze-Rijen) ; Giels, Gielze
 ginder ; daorte
 ginds ; ginderwèèd
 ginds ; daorgiens, daorgeens
 ginds ; giens, geens
 ginds, ginder ; giender
 gister ; giester
 gisteren ; giestere
 gisterochtend ; Giestermèrguh
 glaasje ; glosku
 glaasje ; glòske
 glaasje advocaat ; advekòtje
 glaasje advocaat ; avvekòtje
 glaasje bier ; pint, pintje
 glad ; gladdeg
 gladheid ; gladdeghèd, gladdeghèt, gladdeghèj (mv gladdegheeje)
 glans, eikeltop (mannelijk lid) ; glaans
 glanzende stof (Eng. lustre) ; luster
 glaswerk, porselein ; breekwèèrk
 glazen ; glaoze
 glazen knikker (E:marble) ; mèrpel, mèèrpel
 glazen knikker (E:marble) ; mèèrpel, (vkw mèrpelke)
 glazen knikker, stuiter ; proem
 glazen potje met deksel (met daarin H. Olie) ; pulversêerglas
 glibberbaan (van ijs of harde sneeuw) ; slibberbaon
 glijden ; glèèje (vt gleej)
 gloeiend ; gloejendeg
 gloeiend ; gloejeg
 God (Fr: Dieu) ; juu
 goed (e) ; goej (e)
 goed bij je verstand, goed wijs ; goed snuf
 goed dronken ; lillek zat
 goed gevorderd zijn ; vèr op scheut zèn
 goed gevulde borrel schenken ; schenkt unne goej maot
 goed voorzien ; goed meej gestèld
 goede baan ; goej wèèrk
 goedendag ; bezjôûr
 goedgeefsheid ; rejaoleghèd, rejaoleghèt, rejaoleghèj
 goedgelovig iemand ; kokedôores, koekedôores
 goedkoop ; goejekôop
 goedkope bioscoopplaats ; ollienutjesrang / nekloge
 goedzak, goedig iemand ; lòbbes, laobes
 goedzak, goedig iemand ; laobes, lòbbes
 goedzak, sul ; doebes
 goeie genade! ; meens genaoj
 Goirke ; Gurke
 Goirle ; Gool
 Goirle ; Gèèt
 Goirle's, van Goirle ; Gols (e)
 Goirlenaar ; Ballefrutter
 Goirlenaar ; Ballefrutter / gèèt
 golf ; gòllef
 gooien ; gôoje
 gooien, slaan ; naaje
 goot ; geut
 gootje ; gutje
 gootsteen ; gotstêen, gutstêen
 gootsteen ; gutstêen, gotstêen
 gootsteenwater ; môoswaoter
 gordijnen ; gerdèène
 gordijnen ; gerdèène, (vkw gerdèntje)
 gordijnroede ; gerdèèneroej
 Gorinchem ; Gorkèm, Gorkùm
 goud ; gawt
 gouden ; gaaw (e)
 goudhaantje (Regulus regulus) ; maastepieperke, maasttieterke
 goulardwater, loodacetaatwater (tegen huidaandoening) ; oodeglaarwaoter
 graag ; gère
 graag, gaarne ; gèèr (e)
 graan ; graon (vkw gròntje)
 graantje ; gròntje
 graat ; graot, (vkw gròtje)
 graatje ; gròtje
 grappig ; jèùneg
 grappig ; aoreg
 grappig iemand ; jèùn
 grappig, uitgelaten ; jööneg
 gras ; graas
 grasmus (Sylvia communis) ; brèmkwètje
 grauwe vliegenvanger (Muscicapa striata) ; muggesnapper
 grazen ; graoze
 greep, handvol ; gròp
 grens, hek ; afschaajing
 greppel, slootje, sleuf ; grippel
 grietje, meisje ; kalleke
 grijs ; grèès
 grijze ; grèèze
 groeipijn ; maajscheut, maajsescheut
 groen ; gruun
 groenachtig ; gruuneg
 groenling (Chloris chloris) ; doorenvink
 groente ; gruunte
 groente (s) ; gruunte (s)
 groentekar ; gruuntekèèr
 groenteman ; gruuntenboer
 groenvoer ; gruunvoejer
 grof en onbehouwen iemand ; aachtkaantege
 grommen, onaangenaam bejegenen ; snòbbe
 grond ; èèrde
 grondig schoonmaken ; boestere
 Gronings ; Kéigaafh!
 groot ; grôot
 groot of rood hoofd ; tiest
 grootmoeder ; grutje
 grootmoeder ; oopoe
 grootst; grotst
 grootte ; grotte
 grootvader ; grutvadder
 grootvader ; oopaa
 grote gele perzik ; mèrketon
 grote hoeveelheid ; kwak (vkw kwèkske)
 grote hoeveelheid, een boel, een hoop, ; slòdder
 grote kast ; kammenet
 grote meid ; grôote lut
 grote mond ; groot bakkes
 grote mond ; kwèèk
 grote oren, zeiloren ; zèèloore
 grote schop met opstaande randen, achterwerk, achterste ; bats
 grote schop met opstaande randen, nutteloze last ; ballaast
 grote zanglijster (Turdus viscivorus) ; balleklèèster
 grote zwartwit-toffee ; bakkesvol
 grote, lompe voeten ; slaojhiele
 groter; grotter
 gruis ; griezel
 gruis, sintels ; gröös
 gruwel ; graawel
 gulden (munt) ; gulde
 gulp ; göllep
 gulp ; vurbroek
 gulzigaard, iemand die veel eet en drinkt ; dùrjaoger
 gummi ; kesjoe
 gymnastiek ; gimmestiek
 haagbeuk ; hèèrentèèr
 haagwinde (Calystegia sepium) ; pispötjes
 haakje ; hòkske
 haaknaald ; hòknòld
 haaknaald ; haóknaóld
 haaks ; hòks
 haam, paardejuk ; haom
 haan ; haon, (vkw hòntje)
 haantje ; hòntje
 haar ; durre
 haar ; dur
 haar ; haor, (vkw hòrke)
 haar man ; heure meens
 haar, hare ; heur (e)
 haar, hoor ; hur
 haard ; hèrd, hèèrd
 haard, thuis, woonvertrek ; hèèrd, hèrd
 haarscheiding ; sgaj
 haarspeld ; hòrspèl, haorspèl
 haarspeld ; haorspèl, hòrspèl
 haartje ; hòrpèèl
 haartje ; hòrke
 haas ; haos, (vkw hòske)
 haasje ; hòske
 haasje-over (kinderspel) ; bokspringe
 haast ; gaawte
 haast ; hòst
 haast ; gaaweghèd, gaaweghèt, gaaweghèj
 haast maken, opschieten ; vortdoen
 haasten ; hòste
 haastig ; schielek
 haastig en slordig opzeggen of afmaken ; afrèffele
 haastig, gehaast ; hòsteg
 haastig, gehaast, door haast gedreven ; gehòst
 hachee ; anzjeej, hansjee
 hachee ; hansjee, anzjeej
 had ; hò / ha
 had (den) ; hò (n), hà (n)
 had het ; hagget
 had het ; hògget
 had hij ; hò-j, ha-j
 had hij ; haj
 had ie ; hòj, haj
 had je, had u ; hòdde
 hadden ; hòn / han
 hadden ; han, hòn
 hadden we ; hamme
 hagedis (Lacerta) ; haajslèng (e) ske
 hagelbui ; haogelbui
 hagelen ; haogele
 hagelslag ; kwattastroojsel
 hakbijl ; hakbèèl
 hakbijl (tje) ; kapbèl (tje)
 haken ; haoke (tt hòkt, vt hòkte)
 haktol, priktol ; hakdòl
 halen ; haole (tt hòlt, vt hòlde)
 half ; hallef
 halfje ; hallefke
 halflange overjas ; palletôoke
 halfvasten (Fr:mi-carème); mie-karèèm
 halfwas ; hallefwaas
 hallo ; alo
 hallo ; halleeej
 hallo ; halleej
 hallo. ; haléé.
 halsdoek, neusdoek ; kasjeneej (v / h Franse cache-nez)
 halslijn ; sgap
 halve stuiver ; soe
 ham ; hèsp
 hamer ; haomer
 hand ; pôot (mv pôote)
 hand ; pòl (vkw pòlleke, mv pòlle)
 hand ; haand (vkw hèndje)
 handelwijze, handeling, inzicht ; haandelesaosie
 handen ; kleviere
 handen ; jatten
 handen ; haande
 handengeverij ; hèndjesgegeef
 handgrepen van een kruiwagen ; burries
 handje ; hèndje
 handkar ; douwkèèr
 handkar ; stotskèèr
 handschoenen (zachtlederen) ; glassees
 handtasje ; haandtaske
 handtastelijk ; unne plukkert
 handvol ; haffel
 handzaag ; haandzaog
 hangbuik ; papbèùk
 hannes ; hannek
 hansworst, misselijke kerel ; klôotvèèger
 haperen ; mekêere
 haperen ; haopere
 hard lopen ; hòlle
 hard roepen ; kwekken
 hard werken, uit de naad werken ; klapzuur wèèreke
 hard werken, ploeteren ; peeze
 harde werker ; mènnekeskneuter
 harde werker, doorzetter ; vrêûker
 harden ; harte
 hardlijvigheid ; hardlèèvereghèd
 hardstenen bak onder een pomp, gootsteen ; pompstêen
 haren ; haor
 haren, ; haore
 haring ; hèrring
 haringhappen ; hèrringhappe
 hark ; rèèf
 harken, rijven ; rèève, (tt rèèft, vt rêef)
 harmonica ; môonieka
 harmonie ; hèrremenie
 harmonie ; hèrmenie
 hart ; hèrt
 harten (s) (bij kaartspel) ; harte (s)
 hartig, zout ; hartelek
 hatelijk ; haotelek
 haten ; haote
 haveloos figuur ; schabbernak
 haven ; haove
 haver ; haover
 hazepeper ; haozepeeper
 heb het lef niet. ; hègget hart nie.
 heb ik jou iets gevraagd? ; vraokoewiets?
 Heb je al verkering ; Hedde gij al unne flip
 heb jij ; hedde gij
 heb, hebben ; hè, hèn
 hebben ; hèn
 hebt ; hèt
 hebt het ; hègget
 heden ; heeje
 heeft ; heej
 heeft het ; heeget
 heel dom ; vèèrekeslomp
 Heel gelovige vrouw ; Fèn trip
 heel gezellig ; Kai leuk
 heel lelijk ; vèèrekeslillek
 Heel rooms en zedig ; Fèn woar gin hoar zit
 heel veel, een groot aantal, een flink deel ; un hil dil
 heel, geheel ; gaans (e)
 heel, geheel ; hil
 heen en weer ; hèrs èn geens
 heen en weer (van links naar rechts) ; hòt nòr hèèr, hòt nòr hèr
 heenweg ; giensgòns, geensgòns
 heenweg ; heensgòns
 heenweg ; heengòns
 heertje ; hirke
 heet, erg warm (kindertaal) ; hies
 heet, warm ; hêet, (hêeter, hitst - heter, heetst)
 heetgebakerd iemand ; hêeten bliksem
 heetst ; hitst
 heggemus (Prunella modularis) ; graawke
 heggemus, blauwtje (Prunella modularis) ; blaawpieperke, blaawke
 heibel ; ambras
 heide ; haaj
 Heikant ; Haajkaant
 Heike ; Haajke
 heilig ; hèlleg
 heilige ; hèllege
 heimwee ; vort
 heining, schutting ; hèèning
 hekel ; laand
 hekel, tegenzin, afkeer ; hòr
 helder ; hèl (hèller, hèlst - helderder, helderst)
 helder ; klaor
 hele ; hêele
 hele boel ; klèùt
 heleboel ; hôop
 helemaal ; hillemaol, hillemòl, himmòl
 helemaal ; himmòl, hillemòl, hillemaol
 helemaal ; harstikke
 helemaal ; hillemòl
 helemaal ; himmel
 helemaal ; gelèèk
 helemaal ; himmòl
 helemaal niets ; gin flèùt
 helemaal, allemaal ; gelèèk
 helemaal, finaal, totaal ; köös
 helen (ww) ; hêele
 helft ; hèlleft
 helm ; piespot
 helpen ; hèllepe, (vt hielp, gehollepe)
 hem ; em
 hem ; hum
 hem smeren ; em pôoje
 hemd ; hèm
 hemden ; hèmme
 hemdje ; hèmmeke
 hemel ; heemel
 hen, hun ; höllie (je), hullie (je)
 hengsel ; gehèng
 hengselmand met klapdeksel ; klèpkörref
 hennep ; kèmp
 hennepdraad ; kèmpgaore
 hennepnetel (Galeopsis Tetrahit) ; danneetel
 hennepzaad (Cannabis sativa) ; kèmpzaod
 herberg, café ; hèlleghöske
 herenmaat ; mansmaot (vkw mansmòtje)
 herenmaat ; maansmaot (vkw maansmòtje)
 herik, hederik, tuin onkruid, (Sinapis arvensis) ; hierek
 herkauwen ; nierken
 herrieschoppen ; donderjaoge
 herrieschopper ; druktesmaoker
 hersenen ; harses
 hersenen, verstand ; harses
 hersens ; harses
 hersenwerk ; kòpbreekeswèèrek
 herstellen, weer op krachten komen ; reekuupèrerèn
 het ; ut
 het aanrecht ; de norrugt
 het dennenbos ; de maast
 het doel verdedigen, keepen (voetballen) ; kiepere
 het een en ander ; têen èn taander
 het één en het ander ; têên nen taander (TNT)
 het eten op tafel zetten ; opdoen
 het fijt (panaritium) ; et fèèt
 het gilde ; de guld
 het Goirke ; et Gurke
 het Heike ; et Haajke
 het hem flikken ; maoke
 het is jammer ; tis sund
 het is maar ; tis mar
 Het is schande ; Tis schaand
 het is volop dag ; t-is ööt licht
 het juiste gewicht (niets meer) ; pinnekesgewicht
 het kleinste en laatste katje uit het nest ; toemet-ketjes
 het lijkt wel ; et lèèkent wèl
 het narijzen van deeg ; nòrèès
 het opzuigen v.h. dropschuim ; schömketrèkke
 het schip afmeren ; ònlègge
 het sneeuwt heel lichtjes (stofsneeuw) ; et griezelt
 het Stuivesantplein ; et Stèèvezaand
 het te bont maken, miskleunen ; begaoje
 het tocht hier ; et trèkt hier
 het wapen schietklaar in de aanslag nemen ; ònlègge
 het water ingaan zonder te zwemmen ; kuntjesòppe
 het werk van de opperman doen ; uupere
 het Zand ; et Zaand
 heten, noemen ; hiete
 Hetgeen u verteld, verbaasd mij ten zeerste! ; Wè zedde gij nou? / eush
 hetzelfde ; inder
 hetzelfde (overtreffende trap) ; krèk haorinder utzèllefde
 heuveltje, hoogte ; hucht
 hier ; hierte
 hier ; hèrs, hèrres
 hier en daar ; hèrs èn geens
 hiernaast ; hierneffe
 hijgen ; hèège
 hijsen ; hèèse (vt hêes)
 Hilvarenbeek ; Beek
 Hilvarenbeeks ; Biks
 hinderen ; hiendere
 hinderlijk bedrijvig zijn, druk doen, bedrijvig zijn zonder veel te presteren ; rètterêere
 hitsige vent ; gèèlen bèèr
 hitte, warmte ; hits
 hoe een, welke ; hoen
 hoe gaat het ; hoe gao het
 hoe gaat het ; hoeist
 hoe heet hij ; hoe hiet ie
 hoe het ; hoeget
 hoe is het met je? ; hoe ist?
 hoe je het ; hoe ge et
 hoed ; hoet, (mv hoej, huuj, vkw huutje)
 hoeden, waken ; huuj (e)
 hoedje ; huutje
 hoedje ; huudje
 hoeft niet, niet nodig ; nêûj
 hoekje ; huukske
 hoen ; kiep
 hoepel ; rêep
 hoepelen (ww) ; rêepe (ww)
 hoesten, verrekken ; hoeste
 hoeveel ; hoevel, hoeveul
 hoeveel ; hoeveul, hoevel
 hoeveel soorten, hoeveel verschillende ; hoevelderaande, hoeveulteraante
 hoeveelheid drank om dronken te worden ; zatsel
 hoeveelheid urine ; zèksel
 Hoge of Lage Mierde ; Miert, de Miert
 hoge, tweewielige kar ; hôogkèèr
 hogehoed ; hôoge zije
 hogehoed, cilinderhoed ; hôogezèèje
 hoger ; hogger
 hoi ; halleej
 hoi ; haleejkes
 hokje ; hökske
 holenduif (Columba oenas) ; hòldèùf, hòldööf
 holletje ; hölleke
 holte, gat, kuil ; hulte
 hom (bij vissen) ; mollek
 hom ofiel ; brèùnwèèrekèr
 hommetje van de vis ; hummeke
 hond ; does
 hond ; huntje of joekel
 hondenkar ; hondekèèr
 honderd ; hondert
 honderd verschillende ; honderteraante
 hondje ; hundje
 hoofd ; bölleke
 Hoofd ; Knust
 hoofd ; nillis
 hoofd ; harses
 hoofd ; kaanes
 hoofd ; pommeraans
 hoofd ; kòp
 hoofd / onderwijzer ; mister
 hoofd van een lagere school ; boovemister
 hoofd, neus (figuurlijk) ; grèèze
 hoofd, kop ; knöst, (vkw knösje)
 hoofd, mond ; tèbbes
 hoofdkaas ; zult
 hoofdkussen ; oorkussen
 hoofdluis, neten ; pietjes
 hoofdpijn ; kòppènt
 hoofdpijnwijn ; kòppèntwèèn
 hoog ; hôog, (hogger, hogst - hoger, hoogst)
 hoog opgetoupeerd haar ; un veugelnesje
 Hooge Mierde ; Hôogemierd
 hoogmis ; lèste mis
 hoogst ; hogst
 hoogstens ; hogstes
 hoogstens, ten hoogste ; hôogop
 hoogte (n) ; hogt (e)
 hoogte of bult in akker of weide ; hòrst
 hoogtepunt ; örregelpunt
 hooi ; hôoj
 hooien ; hôoje
 hooimijt ; hôojmèèt
 hoop rommel, berg vodden, onopgemaakt bed ; tòdhôop
 hoopje kaarten dat na het uitdelen overblijft en waarvan tijdens het spelen een of meer kaarten;
afgepakt moeten worden ; lummel
 hoopje, steenuil (Athene noctua) ; hupke
 hoor ; hurt
 hoor eens ; hurre
 hoor hem ; hurt um
